date,close,high,low,trade_count,open,volume,vwap
2023-08-21 04:00:00+00:00,439.32,440.105,435.33,10116,437.51,1178587,438.113517
2023-08-22 04:00:00+00:00,438.11,441.12,437.6,7034,441.115,700106,438.889517
2023-08-23 04:00:00+00:00,442.98,443.63,439.11,8727,439.25,931675,442.219752
2023-08-24 04:00:00+00:00,436.92,445.2,436.855,11310,444.85,1448843,439.766925
2023-08-25 04:00:00+00:00,439.98,441.26,435.01,10571,438.6,1182497,438.644132
2023-08-28 04:00:00+00:00,442.78,443.375,440.875,8401,442.32,849212,442.087239
2023-08-29 04:00:00+00:00,449.19,449.43,442.485,11948,442.705,1488379,447.61562
2023-08-30 04:00:00+00:00,450.96,451.66,448.81,10163,449.51,1136740,450.727992
2023-08-31 04:00:00+00:00,450.2,452.82,450.18,13603,451.65,1232403,451.46731
2023-09-01 04:00:00+00:00,451.18,453.66,449.69,7458,453.17,802509,451.103329
2023-09-05 04:00:00+00:00,449.26,451.045,449.185,11809,450.68,1242430,450.023428
2023-09-06 04:00:00+00:00,446.24,448.49,443.825,13513,448.43,1609327,445.78515
2023-09-07 04:00:00+00:00,444.88,445.52,442.76,11555,443.06,1269234,444.462808
2023-09-08 04:00:00+00:00,445.58,447.1,444.53,10336,444.89,1079293,445.749096
2023-09-11 04:00:00+00:00,448.54,448.77,446.5,11023,448.29,1062788,447.839963
2023-09-12 04:00:00+00:00,446.01,448.46,445.39,11354,446.91,1282523,446.681657
2023-09-13 04:00:00+00:00,446.46,447.68,445.08,9198,446.1,1021666,446.583817
2023-09-14 04:00:00+00:00,450.4,451.06,447.72,11776,449.08,1294030,449.895849
2023-09-15 04:00:00+00:00,443.305,447.42,443.02,16601,447.245,2127873,444.438466
2023-09-18 04:00:00+00:00,443.63,444.965,442.57,9194,443.04,934550,443.811236
2023-09-19 04:00:00+00:00,442.62,443.22,439.97,9669,442.78,1070394,441.737185
2023-09-20 04:00:00+00:00,438.52,444.435,438.43,9653,443.98,1090190,441.833555
2023-09-21 04:00:00+00:00,431.3,435.94,431.25,16036,435.71,1755895,433.639006
2023-09-22 04:00:00+00:00,430.28,434.06,430.01,10779,432.48,1192890,432.049879
2023-09-25 04:00:00+00:00,432.23,432.25,428.745,8558,429.13,838426,430.810377
2023-09-26 04:00:00+00:00,425.84,429.81,425.035,13565,429.1,1533865,426.812144
2023-09-27 04:00:00+00:00,425.925,427.615,422.31,12754,427.08,1627458,425.23102
2023-09-28 04:00:00+00:00,428.51,430.24,424.87,12142,425.56,1218814,428.133518
2023-09-29 04:00:00+00:00,427.3,431.82,425.94,13393,431.69,1853531,428.140328
2023-10-02 04:00:00+00:00,427.36,428.58,424.49,11713,426.6,1136854,426.305926
2023-10-03 04:00:00+00:00,421.68,426.635,420.2,11914,425.2,1419038,421.965246
2023-10-04 04:00:00+00:00,424.705,425.405,420.57,11514,422.07,1386577,423.065792
